,jpgs,cells,location,site,plot,year
1,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-69-2021.jpg,248503487,M,8,69,2021
2,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-69-202206.jpg,208159901,M,8,69,202206
3,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-69-202210.jpg,170693794,M,8,69,202210
4,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-69-20230524.jpg,204843471,M,8,69,202305
5,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-70-2021.jpg,218750811,M,8,70,2021
6,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-70-202206.jpg,171471735,M,8,70,202206
7,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-70-202210.jpg,200866979,M,8,70,202210
8,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-70-202305.jpg,303323577,M,8,70,202305
9,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-71-2021.jpg,266485321,M,8,71,2021
10,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-71-202206.jpg,178597615,M,8,71,202206
11,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-71-202210.jpg,188366553,M,8,71,202210
12,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-71-202305.jpg,158986565,M,8,71,202305
13,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-72-2021.jpg,238782213,M,8,72,2021
14,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-72-202206.jpg,206539954,M,8,72,202206
15,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M08-72-202210.jpg,131681056,M,8,72,202210
16,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-81-2021.jpg,552200537,M,10,81,2021
17,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-81-202206.jpg,192066318,M,10,81,202206
18,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-81-202210.jpg,175312834,M,10,81,202210
19,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-81-202305.jpg,193947958,M,10,81,202305
20,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-82-2021.jpg,415516264,M,10,82,2021
21,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-82-202206.jpg,167560538,M,10,82,202206
22,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-82-202210.jpg,150461049,M,10,82,202210
23,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-82-202305.jpg,151565614,M,10,82,202305
24,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-83-2021.jpg,537225543,M,10,83,2021
25,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-83-202206.jpg,210677620,M,10,83,202206
26,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-83-202210.jpg,203022454,M,10,83,202210
27,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-83-202305.jpg,176471536,M,10,83,202305
28,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-84-2021.jpg,451825642,M,10,84,2021
29,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-84-202206.jpg,157971348,M,10,84,202206
30,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-84-202210.jpg,170774688,M,10,84,202210
31,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M10-84-20230529.jpg,192023487,M,10,84,202305
32,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M12-53-2021.jpg,227494232,M,12,53,2021
33,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M12-53-202206.jpg,180168072,M,12,53,202206
34,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M12-53-202210.jpg,198258832,M,12,53,202210
35,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M12-53-20230524.jpg,171462554,M,12,53,202305
36,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M12-54-2021.jpg,212371123,M,12,54,2021
