location,plot,lambda,timepoint
M,50,1.4179517618651138,1
M,52,1.245782574998032,1
M,53,1.050025841832475,1
M,54,1,1
M,56,1.071705553361785,1
M,57,0.09090909090909091,1
M,58,1.2447851997721382,1
M,59,1.1624319912668506,1
M,60,1.3711194637559103,1
M,64,1.1042781692552244,1
M,65,1.080518619996154,1
M,66,1.1866964807742955,1
M,67,1.4332658216897536,1
M,68,1.0880390657156949,1
M,69,1.0703789005968694,1
M,70,1.2610305609139247,1
M,71,1.0752835456363223,1
M,72,1.0570907868661776,1
M,74,1.3363061501373563,1
M,76,1.185238962198794,1
M,81,1.1807849118161264,1
M,82,1.1500881914892522,1
M,83,1.1431915056192783,1
M,84,1,1
M,85,1.1402268378816338,1
M,87,1.1044716966850858,1
M,88,1.2051412786245845,1
M,95,1.2761741137888098,1
T,1,1.0637142655804963,1
T,2,1.0448970821932124,1
T,3,1.045269471495911,1
T,5,0.9881449563239509,1
T,6,1.008069862616412,1
T,8,1.0759185243539204,1
T,10,1.0508195395418793,1
T,11,1.0130994079101665,1
T,12,1.0284124121543492,1
T,15,1.013803649792663,1
T,17,1.201047051963571,1
T,18,1.1071835142600974,1
T,19,1.0645470710654632,1
T,20,1.1384930993430176,1
T,21,1.3493906026157134,1
T,22,1.0832653075193621,1
T,23,1.0270481501711635,1
T,24,1.1054991723183685,1
T,25,1.181836993660818,1
T,27,1.1916410257940622,1
T,28,1.1298791889877975,1
T,31,0.8737053087474318,1
T,32,1.043056105534359,1
T,33,1.0200251841146966,1
T,34,1.0187905825994599,1
T,35,1.0650502548430012,1
T,36,0.9834739140510335,1
T,37,1.1033226101694287,1
T,38,1.0237557884449193,1
T,39,1.0661087123242874,1
T,45,1.0611754505018078,1
T,46,1.1114449782821292,1
T,47,0.9854133306970287,1
T,48,1.0521382648127777,1
M,50,0.8862449834933526,2
M,52,0.8636363636363636,2
M,53,0.9829145336308602,2
M,54,1.0032003859126564,2
M,56,0.969224764315959,2
M,58,1,2
M,59,1.0211549940976805,2
M,60,1.4289239448170994,2
M,64,0.9640724003672847,2
M,65,0.9354838709677419,2
M,66,0.9182417733330982,2
M,67,1,2
M,68,1,2
M,69,1.031851258560104,2
M,70,1.1090460086960312,2
M,71,0.9357995362932526,2
M,72,0.9645195306992232,2
M,74,1,2
M,76,0.8352941176470589,2
M,81,1,2
M,82,1.1894661799267388,2
M,83,1,2
M,84,1,2
M,85,0.8076923076923077,2
M,87,0.940831751261172,2
M,88,0.9046129753531341,2
M,95,0.8082191780821918,2
T,1,1.0106700117098524,2
T,2,1.038709284379953,2
T,3,1.0978063394827247,2
T,5,1,2
T,6,0.9785215796897168,2
T,8,0.9874156018990938,2
T,10,1.0192681605668736,2
T,11,0.9762055326267188,2
T,12,1.0102050385596777,2
T,15,1.02705959176448,2
T,17,0.9763388329206286,2
T,18,0.9677810594017551,2
T,19,0.9433962264150944,2
T,20,1,2
T,21,1.03787015662333,2
T,22,0.9940118980572011,2
T,23,1,2
T,24,0.9921101352135797,2
T,25,1.054139080890154,2
T,27,1.0122183630737576,2
T,28,0.897529086826253,2
T,31,1.0130106205154539,2
T,32,0.974025974025974,2
T,33,1.0712478010167994,2
T,34,1.0339964014332188,2
T,35,1.0115983894424903,2
T,36,1.0031026008174453,2
T,37,0.9999999999999993,2
T,38,1,2
T,39,1.1122216681508426,2
T,45,0.9925378751353278,2
T,46,1,2
T,47,1.0183085125814164,2
T,48,1,2
