stage,fate,area1,area2,class,action,location
NA,juvenile,0,1.11,porites astreoides,born,m
NA,juvenile,0,2.01,porites astreoides,born,m
NA,juvenile,0,1.51,porites astreoides,born,m
NA,juvenile,0,2.92,porites astreoides,born,m
NA,juvenile,0,2.82,porites astreoides,born,m
NA,juvenile,0,2.54,porites astreoides,born,m
NA,juvenile,0,2.26,porites astreoides,born,m
NA,juvenile,0,2.93,porites astreoides,born,m
NA,juvenile,0,2.22,porites astreoides,born,m
NA,juvenile,0,2.32,porites astreoides,born,m
juvenile,dead,14.43,0,porites astreoides,dead,m
juvenile,dead,7.86,0,porites astreoides,dead,m
intermediate,dead,63.29,0,porites astreoides,dead,m
intermediate,dead,93.13,0,porites astreoides,dead,m
intermediate,dead,98.91,0,porites astreoides,dead,m
juvenile,dead,11.7,0,porites astreoides,dead,m
intermediate,dead,72.3,0,porites astreoides,dead,m
juvenile,dead,8.26,0,porites astreoides,dead,m
juvenile,dead,43.56,0,porites astreoides,dead,m
juvenile,juvenile,2.06,3.98,porites astreoides,grow,m
juvenile,juvenile,2.47,2.91,porites astreoides,grow,m
juvenile,juvenile,33.81,46.2,porites astreoides,grow,m
juvenile,juvenile,18.59,32.2,porites astreoides,grow,m
juvenile,juvenile,7.51,9.89,porites astreoides,grow,m
juvenile,juvenile,1.48,2.3,porites astreoides,grow,m
juvenile,intermediate,47.2,50.47,porites astreoides,grow,m
juvenile,juvenile,5.19,8.02,porites astreoides,grow,m
juvenile,juvenile,10.74,18,porites astreoides,grow,m
intermediate,intermediate,82.91,88.06,porites astreoides,grow,m
juvenile,juvenile,25.41,28,porites astreoides,grow,m
intermediate,adult,90.25,102.93,porites astreoides,grow,m
juvenile,juvenile,8.62,12.88,porites astreoides,grow,m
juvenile,juvenile,4.19,5.17,porites astreoides,grow,m
juvenile,juvenile,2.8,4.95,porites astreoides,grow,m
juvenile,juvenile,6.53,10.72,porites astreoides,grow,m
intermediate,intermediate,50.61,59.73,porites astreoides,grow,m
intermediate,intermediate,80.96,91.81,porites astreoides,grow,m
juvenile,juvenile,2.03,4.02,porites astreoides,grow,m
juvenile,juvenile,10.7,13.21,porites astreoides,grow,m
juvenile,juvenile,22.5,24.89,porites astreoides,grow,m
intermediate,intermediate,62.8,70.53,porites astreoides,grow,m
juvenile,juvenile,19.19,21.51,porites astreoides,grow,m
juvenile,juvenile,16.46,20.89,porites astreoides,grow,m
juvenile,juvenile,10.14,11.14,porites astreoides,grow,m
juvenile,juvenile,28.89,32.15,porites astreoides,grow,m
juvenile,juvenile,23.61,30.37,porites astreoides,grow,m
juvenile,juvenile,21.09,25.33,porites astreoides,grow,m
juvenile,juvenile,9.39,13.23,porites astreoides,grow,m
juvenile,juvenile,22.85,34.36,porites astreoides,grow,m
juvenile,juvenile,22.6,25.03,porites astreoides,grow,m
juvenile,juvenile,26.54,32.59,porites astreoides,grow,m
juvenile,juvenile,7.82,13.34,porites astreoides,grow,m
juvenile,juvenile,16.05,17.61,porites astreoides,grow,m
juvenile,juvenile,17.8,22.53,porites astreoides,grow,m
juvenile,juvenile,7.16,8.31,porites astreoides,grow,m
juvenile,juvenile,7.43,10.3,porites astreoides,grow,m
juvenile,juvenile,44.99,48.51,porites astreoides,grow,m
juvenile,juvenile,25.91,29.18,porites astreoides,grow,m
juvenile,intermediate,49.97,60.53,porites astreoides,grow,m
juvenile,juvenile,2.14,4.51,porites astreoides,grow,m
juvenile,juvenile,21.35,29.62,porites astreoides,grow,m
