"period","location","site","plot","counts","mean_size","sd_size"
"after 12mo","Maguey","08","69",0,0,NA
"after 6mo","Maguey","08","69",0,0,NA
"dieoff","Maguey","08","69",0,0,NA
"after 12mo","Maguey","08","70",0,0,NA
"after 6mo","Maguey","08","70",0,0,NA
"baseline","Maguey","08","70",0,0,NA
"dieoff","Maguey","08","70",0,0,NA
"after 12mo","Maguey","08","71",0,0,NA
"after 6mo","Maguey","08","71",0,0,NA
"baseline","Maguey","08","71",0,0,NA
"dieoff","Maguey","08","71",0,0,NA
"after 6mo","Maguey","08","72",0,0,NA
"baseline","Maguey","08","72",0,0,NA
"dieoff","Maguey","08","72",0,0,NA
"after 12mo","Maguey","10","81",0,0,NA
"after 6mo","Maguey","10","81",0,0,NA
"baseline","Maguey","10","81",0,0,NA
"dieoff","Maguey","10","81",0,0,NA
"after 12mo","Maguey","10","82",0,0,NA
"after 6mo","Maguey","10","82",0,0,NA
"baseline","Maguey","10","82",11,2.09090909090909,0.943879807448539
"dieoff","Maguey","10","82",0,0,NA
"after 12mo","Maguey","10","83",0,0,NA
"after 6mo","Maguey","10","83",0,0,NA
"baseline","Maguey","10","83",0,0,NA
"dieoff","Maguey","10","83",0,0,NA
"after 12mo","Maguey","10","84",0,0,NA
"after 6mo","Maguey","10","84",0,0,NA
"baseline","Maguey","10","84",0,0,NA
"after 6mo","Maguey","12","53",0,0,NA
"baseline","Maguey","12","53",0,0,NA
"dieoff","Maguey","12","53",0,0,NA
"after 12mo","Maguey","12","54",0,0,NA
"after 6mo","Maguey","12","54",0,0,NA
"baseline","Maguey","12","54",0,0,NA
"dieoff","Maguey","12","54",0,0,NA
"after 6mo","Maguey","12","55",0,0,NA
"baseline","Maguey","12","55",0,0,NA
"dieoff","Maguey","12","55",0,0,NA
"after 12mo","Maguey","12","56",0,0,NA
"after 6mo","Maguey","12","56",0,0,NA
"dieoff","Maguey","12","56",0,0,NA
"after 12mo","Maguey","15","61",1,1,NA
"after 6mo","Maguey","15","61",0,0,NA
"baseline","Maguey","15","61",8,1.25,0.462910049886276
"dieoff","Maguey","15","61",0,0,NA
"after 12mo","Maguey","15","62",0,0,NA
"after 6mo","Maguey","15","62",0,0,NA
"baseline","Maguey","15","62",7,2.14285714285714,0.899735410842437
"dieoff","Maguey","15","62",0,0,NA
"after 12mo","Maguey","15","63",0,0,NA
"after 6mo","Maguey","15","63",0,0,NA
"baseline","Maguey","15","63",0,0,NA
"dieoff","Maguey","15","63",0,0,NA
"after 6mo","Maguey","15","64",0,0,NA
"baseline","Maguey","15","64",0,0,NA
"dieoff","Maguey","15","64",0,0,NA
"after 12mo","Maguey","17","89",1,1,NA
"after 6mo","Maguey","17","89",0,0,NA
"baseline","Maguey","17","89",0,0,NA
"after 12mo","Maguey","17","90",0,0,NA
"after 6mo","Maguey","17","90",0,0,NA
"baseline","Maguey","17","90",0,0,NA
"after 12mo","Maguey","17","91",0,0,NA
"baseline","Maguey","17","91",2,1,0
"after 12mo","Maguey","17","92",0,0,NA
"after 6mo","Maguey","17","92",0,0,NA
"baseline","Maguey","17","92",0,0,NA
"after 12mo","Maguey","28","73",0,0,NA
"after 6mo","Maguey","28","73",0,0,NA
"baseline","Maguey","28","73",3,1.33333333333333,0.577350269189626
"dieoff","Maguey","28","73",0,0,NA
"after 12mo","Maguey","28","74",1,1,NA
"after 6mo","Maguey","28","74",0,0,NA
"baseline","Maguey","28","74",1,1,NA
"dieoff","Maguey","28","74",0,0,NA
"after 12mo","Maguey","28","75",0,0,NA
"after 6mo","Maguey","28","75",0,0,NA
"dieoff","Maguey","28","75",0,0,NA
"after 12mo","Maguey","28","76",0,0,NA
"after 6mo","Maguey","28","76",0,0,NA
"baseline","Maguey","28","76",0,0,NA
"dieoff","Maguey","28","76",0,0,NA
"after 12mo","Maguey","38","57",0,0,NA
"after 6mo","Maguey","38","57",0,0,NA
"baseline","Maguey","38","57",0,0,NA
"dieoff","Maguey","38","57",0,0,NA
"after 12mo","Maguey","38","58",0,0,NA
"after 6mo","Maguey","38","58",0,0,NA
"baseline","Maguey","38","58",0,0,NA
"dieoff","Maguey","38","58",0,0,NA
"after 12mo","Maguey","38","59",0,0,NA
"after 6mo","Maguey","38","59",0,0,NA
"baseline","Maguey","38","59",0,0,NA
"dieoff","Maguey","38","59",0,0,NA
"after 12mo","Maguey","38","60",0,0,NA
"after 6mo","Maguey","38","60",0,0,NA
"baseline","Maguey","38","60",0,0,NA
"dieoff","Maguey","38","60",0,0,NA
"after 12mo","Maguey","43","65",0,0,NA
"after 6mo","Maguey","43","65",0,0,NA
"baseline","Maguey","43","65",0,0,NA
"dieoff","Maguey","43","65",0,0,NA
"after 12mo","Maguey","43","66",0,0,NA
"after 6mo","Maguey","43","66",0,0,NA
"baseline","Maguey","43","66",6,1.5,0.836660026534076
"dieoff","Maguey","43","66",0,0,NA
"after 12mo","Maguey","43","67",0,0,NA
"after 6mo","Maguey","43","67",0,0,NA
"baseline","Maguey","43","67",0,0,NA
"dieoff","Maguey","43","67",0,0,NA
"after 12mo","Maguey","43","68",0,0,NA
"after 6mo","Maguey","43","68",0,0,NA
"baseline","Maguey","43","68",2,1.5,0.707106781186548
"dieoff","Maguey","43","68",0,0,NA
"after 12mo","Maguey","45","85",0,0,NA
"after 6mo","Maguey","45","85",0,0,NA
"baseline","Maguey","45","85",0,0,NA
"dieoff","Maguey","45","85",0,0,NA
"after 12mo","Maguey","45","86",0,0,NA
"after 6mo","Maguey","45","86",0,0,NA
"dieoff","Maguey","45","86",0,0,NA
"after 12mo","Maguey","45","87",0,0,NA
"after 6mo","Maguey","45","87",0,0,NA
"baseline","Maguey","45","87",0,0,NA
"dieoff","Maguey","45","87",0,0,NA
"after 12mo","Maguey","45","88",0,0,NA
"after 6mo","Maguey","45","88",0,0,NA
"baseline","Maguey","45","88",6,1.5,0.547722557505166
"dieoff","Maguey","45","88",0,0,NA
"after 12mo","Maguey","48","49",0,0,NA
"after 6mo","Maguey","48","49",0,0,NA
"baseline","Maguey","48","49",0,0,NA
"dieoff","Maguey","48","49",0,0,NA
"after 12mo","Maguey","48","50",0,0,NA
"after 6mo","Maguey","48","50",0,0,NA
"baseline","Maguey","48","50",0,0,NA
"dieoff","Maguey","48","50",0,0,NA
"after 12mo","Maguey","48","51",0,0,NA
"after 6mo","Maguey","48","51",0,0,NA
"baseline","Maguey","48","51",0,0,NA
"dieoff","Maguey","48","51",0,0,NA
"after 12mo","Maguey","48","52",0,0,NA
"after 6mo","Maguey","48","52",0,0,NA
"baseline","Maguey","48","52",0,0,NA
"dieoff","Maguey","48","52",0,0,NA
"after 12mo","Maguey","73","77",1,1,NA
"after 6mo","Maguey","73","77",1,1,NA
"baseline","Maguey","73","77",27,1.88888888888889,0.751067616198811
"dieoff","Maguey","73","77",2,1,0
"after 12mo","Maguey","73","78",0,0,NA
"after 6mo","Maguey","73","78",1,1,NA
"baseline","Maguey","73","78",16,1.875,0.5
"dieoff","Maguey","73","78",0,0,NA
"after 12mo","Maguey","73","79",0,0,NA
"after 6mo","Maguey","73","79",0,0,NA
"baseline","Maguey","73","79",21,1.66666666666667,0.577350269189626
"dieoff","Maguey","73","79",0,0,NA
"after 12mo","Maguey","73","80",1,1,NA
"dieoff","Maguey","73","80",0,0,NA
"after 12mo","Maguey","74","93",0,0,NA
"after 6mo","Maguey","74","93",0,0,NA
"baseline","Maguey","74","93",8,1.375,0.517549169506766
"dieoff","Maguey","74","93",0,0,NA
"after 12mo","Maguey","74","94",1,1,NA
"after 6mo","Maguey","74","94",0,0,NA
"baseline","Maguey","74","94",8,1.5,0.534522483824849
"dieoff","Maguey","74","94",0,0,NA
"after 12mo","Maguey","74","95",0,0,NA
"after 6mo","Maguey","74","95",0,0,NA
"baseline","Maguey","74","95",14,2.07142857142857,1.07161170596054
"dieoff","Maguey","74","95",0,0,NA
"after 12mo","Maguey","74","96",1,1,NA
