"period","yearmonth","location","site","plot","cluster","clustersize"
"baseline",2021,"Maguey","08","70",0,0
"baseline",2021,"Maguey","08","71",0,0
"baseline",2021,"Maguey","08","72",0,0
"baseline",2021,"Maguey","10","81",0,0
"baseline",2021,"Maguey","10","83",0,0
"baseline",2021,"Maguey","10","84",0,0
"baseline",2021,"Maguey","10","82",1,3
"baseline",2021,"Maguey","10","82",2,2
"baseline",2021,"Maguey","10","82",3,1
"baseline",2021,"Maguey","10","82",4,3
"baseline",2021,"Maguey","10","82",5,1
"baseline",2021,"Maguey","10","82",6,1
"baseline",2021,"Maguey","10","82",7,2
"baseline",2021,"Maguey","10","82",8,4
"baseline",2021,"Maguey","10","82",9,2
"baseline",2021,"Maguey","10","82",10,2
"baseline",2021,"Maguey","10","82",11,2
"baseline",2021,"Maguey","12","55",0,0
"baseline",2021,"Maguey","12","53",0,0
"baseline",2021,"Maguey","12","54",0,0
"baseline",2021,"Maguey","15","61",1,1
"baseline",2021,"Maguey","15","61",2,2
"baseline",2021,"Maguey","15","61",3,1
"baseline",2021,"Maguey","15","61",4,2
"baseline",2021,"Maguey","15","61",5,1
"baseline",2021,"Maguey","15","61",6,1
"baseline",2021,"Maguey","15","61",7,1
"baseline",2021,"Maguey","15","61",8,1
"baseline",2021,"Maguey","15","62",1,2
"baseline",2021,"Maguey","15","62",2,4
"baseline",2021,"Maguey","15","62",3,2
"baseline",2021,"Maguey","15","62",4,2
"baseline",2021,"Maguey","15","62",5,2
"baseline",2021,"Maguey","15","62",6,2
"baseline",2021,"Maguey","15","62",7,1
"baseline",2021,"Maguey","15","63",0,0
"baseline",2021,"Maguey","15","64",0,0
"baseline",2021,"Maguey","17","89",0,0
"baseline",2021,"Maguey","17","90",0,0
"baseline",2021,"Maguey","17","91",1,1
"baseline",2021,"Maguey","17","91",2,1
"baseline",2021,"Maguey","17","92",0,0
"baseline",2021,"Maguey","28","73",1,1
"baseline",2021,"Maguey","28","73",2,1
"baseline",2021,"Maguey","28","73",3,2
"baseline",2021,"Maguey","28","74",1,1
"baseline",2021,"Maguey","28","76",0,0
"baseline",2021,"Maguey","38","57",0,0
"baseline",2021,"Maguey","38","58",0,0
"baseline",2021,"Maguey","38","59",0,0
"baseline",2021,"Maguey","38","60",0,0
"baseline",2021,"Maguey","43","65",0,0
"baseline",2021,"Maguey","43","66",1,1
"baseline",2021,"Maguey","43","66",2,1
"baseline",2021,"Maguey","43","66",3,2
"baseline",2021,"Maguey","43","66",4,1
"baseline",2021,"Maguey","43","66",5,1
"baseline",2021,"Maguey","43","66",6,3
"baseline",2021,"Maguey","43","67",0,0
"baseline",2021,"Maguey","43","68",1,2
"baseline",2021,"Maguey","43","68",2,1
"baseline",2021,"Maguey","45","85",0,0
"baseline",2021,"Maguey","45","87",0,0
"baseline",2021,"Maguey","45","88",1,2
"baseline",2021,"Maguey","45","88",2,2
"baseline",2021,"Maguey","45","88",3,1
"baseline",2021,"Maguey","45","88",4,2
"baseline",2021,"Maguey","45","88",5,1
"baseline",2021,"Maguey","45","88",6,1
"baseline",2021,"Maguey","48","49",0,0
"baseline",2021,"Maguey","48","50",0,0
"baseline",2021,"Maguey","48","51",0,0
"baseline",2021,"Maguey","48","52",0,0
"baseline",2021,"Maguey","73","77",1,2
"baseline",2021,"Maguey","73","77",2,2
"baseline",2021,"Maguey","73","77",3,1
"baseline",2021,"Maguey","73","77",4,1
"baseline",2021,"Maguey","73","77",5,2
"baseline",2021,"Maguey","73","77",6,1
"baseline",2021,"Maguey","73","77",7,2
"baseline",2021,"Maguey","73","77",8,3
"baseline",2021,"Maguey","73","77",9,2
"baseline",2021,"Maguey","73","77",10,1
"baseline",2021,"Maguey","73","77",11,1
"baseline",2021,"Maguey","73","77",12,1
"baseline",2021,"Maguey","73","77",13,1
"baseline",2021,"Maguey","73","77",14,2
"baseline",2021,"Maguey","73","77",15,3
"baseline",2021,"Maguey","73","77",16,3
"baseline",2021,"Maguey","73","77",17,2
"baseline",2021,"Maguey","73","77",18,3
"baseline",2021,"Maguey","73","77",19,1
"baseline",2021,"Maguey","73","77",20,3
"baseline",2021,"Maguey","73","77",21,2
"baseline",2021,"Maguey","73","77",22,2
"baseline",2021,"Maguey","73","77",23,3
"baseline",2021,"Maguey","73","77",24,2
"baseline",2021,"Maguey","73","77",25,2
"baseline",2021,"Maguey","73","77",26,1
"baseline",2021,"Maguey","73","77",27,2
"baseline",2021,"Maguey","73","78",1,1
"baseline",2021,"Maguey","73","78",2,2
"baseline",2021,"Maguey","73","78",3,1
"baseline",2021,"Maguey","73","78",4,2
"baseline",2021,"Maguey","73","78",5,2
"baseline",2021,"Maguey","73","78",6,2
"baseline",2021,"Maguey","73","78",7,2
"baseline",2021,"Maguey","73","78",8,2
"baseline",2021,"Maguey","73","78",9,3
"baseline",2021,"Maguey","73","78",10,2
"baseline",2021,"Maguey","73","78",11,2
"baseline",2021,"Maguey","73","78",12,1
"baseline",2021,"Maguey","73","78",13,2
"baseline",2021,"Maguey","73","78",14,2
"baseline",2021,"Maguey","73","78",15,2
"baseline",2021,"Maguey","73","78",16,2
"baseline",2021,"Maguey","73","79",1,2
"baseline",2021,"Maguey","73","79",2,2
"baseline",2021,"Maguey","73","79",3,1
"baseline",2021,"Maguey","73","79",4,2
"baseline",2021,"Maguey","73","79",5,2
"baseline",2021,"Maguey","73","79",6,3
"baseline",2021,"Maguey","73","79",7,1
"baseline",2021,"Maguey","73","79",8,2
"baseline",2021,"Maguey","73","79",9,2
"baseline",2021,"Maguey","73","79",10,1
"baseline",2021,"Maguey","73","79",11,2
"baseline",2021,"Maguey","73","79",12,2
"baseline",2021,"Maguey","73","79",13,1
"baseline",2021,"Maguey","73","79",14,1
"baseline",2021,"Maguey","73","79",15,1
"baseline",2021,"Maguey","73","79",16,2
"baseline",2021,"Maguey","73","79",17,2
"baseline",2021,"Maguey","73","79",18,1
"baseline",2021,"Maguey","73","79",19,1
"baseline",2021,"Maguey","73","79",20,2
"baseline",2021,"Maguey","73","79",21,2
"baseline",2021,"Maguey","74","93",1,1
"baseline",2021,"Maguey","74","93",2,2
"baseline",2021,"Maguey","74","93",3,1
"baseline",2021,"Maguey","74","93",4,1
