Site,ID,Species,Functional_Group,Sample Type,collection,Scientific_name,Category,Cat2,Troph,d13C,d15N,d34S,N%,C%,S%,TL_cm,SL_cm
MA38,MA38-BJ2,Blue Runner,Omnivore,Fin,Dec-22,Caranx crysos,Fish,Fish,1.5,-15.51,6.12,18.72,7.23,26.7,0.36,25.91,20.94
MA38,MA38-BJ4,Blue Runner,Omnivore,Fin,Dec-22,Caranx crysos,Fish,Fish,1.5,-14.39,6.94,17.67,7.88,25.89,0.41,29.16,22.92
MB43,MB43-BJ2,Blue Runner,Omnivore,Fin,Dec-22,Caranx crysos,Fish,Fish,1.5,-15.75,7.15,16.06,8.46,28.71,0.29,NA,NA
MB43,MB43-BJ1,Blue Runner,Omnivore,Fin,Dec-22,Caranx crysos,Fish,Fish,1.5,-15.17,7.29,12.01,8.55,26.7,0.33,32.29,25.74
TC26,TC26-BW41F,Bluehead Wrasse,Invertivore,NA,Dec-22,Thalassoma bifasciatum,Fish,Fish,1.5,-16.1,5.55,19.01,5.46,17.73,0.45,NA,NA
A40,A40-3-TBI-M,Bluehead Wrasse,Carnivore,muscle,Aug-23,Thalassoma bifasciatum,Fish,Fish,1.5,-16.30908898,5.754924297,19.76038272,14.9207851,48.37964448,1.022618051,4.8,NA
B87,B87-16-TBI-M,Bluehead Wrasse,Carnivore,muscle,Aug-23,Thalassoma bifasciatum,Fish,Fish,1.5,-17.84019633,5.847910349,19.82011263,9.134072783,29.65526912,1.041563189,4.1,NA
A91,M/H-A91-01-TBI-M,Bluehead Wrasse,Carnivore,muscle,Aug-23,Thalassoma bifasciatum,Fish,Fish,1.5,-15.70901815,5.921334202,19.3596787,3.746915106,12.96968025,0.455560137,NA,NA
B77,B77-11-TBI-M,Bluehead Wrasse,Carnivore,muscle,Aug-23,Thalassoma bifasciatum,Fish,Fish,1.5,-18.11622048,5.973098061,20.29477685,7.714786494,27.59915934,1.048807727,7.5,NA
A91,M-A91-02-TBI-M,Bluehead Wrasse,Carnivore,muscle,Aug-23,Thalassoma bifasciatum,Fish,Fish,1.5,-15.33200074,6.015609105,19.31138678,11.98522078,38.39296065,1.110214667,7.4,NA
A91,H/F-A91-03-TBI-M,Bluehead Wrasse,Carnivore,muscle,Aug-23,Thalassoma bifasciatum,Fish,Fish,1.5,-16.49982469,6.072555625,20.06440991,11.74097344,39.33984166,1.055852078,4.3,NA
A40,A40-5-TBI-M,Bluehead Wrasse,Carnivore,muscle,Aug-23,Thalassoma bifasciatum,Fish,Fish,1.5,-16.55084278,6.077810666,19.5854273,7.994419576,26.07434735,1.185599728,5,NA
A60,A60-20-TBI-M,Bluehead Wrasse,Carnivore,muscle,Aug-23,Thalassoma bifasciatum,Fish,Fish,1.5,-17.45741949,6.090118943,19.8389687,16.82704129,53.52642425,1.106093135,4.4,NA
B77,B77-12-TBI-M,Bluehead Wrasse,Carnivore,muscle,Aug-23,Thalassoma bifasciatum,Fish,Fish,1.5,-17.08471573,6.176766109,18.98494625,10.31579788,32.60996446,1.152321135,6.6,NA
A59,A59-16-TBI-M,Bluehead Wrasse,Carnivore,muscle,Aug-23,Thalassoma bifasciatum,Fish,Fish,1.5,-16.69631427,6.195506281,20.32087607,6.037853323,18.7240073,1.127201125,6.8,NA
TAM27,TAM27-TBI6-M,Bluehead Wrasse,Carnivore,muscle,Aug-23,Thalassoma bifasciatum,Fish,Fish,1.5,-17.38690797,6.207678947,18.17511324,11.58925007,37.95228279,0.703149413,4.8,NA
